Age	Male	Female
0	0.005472	0.004568
1	0.0034384	0.0028472
2	0.0014048	0.0011272
3	0.0003584	0.0002496
4	0.0003	0.0002144
5	0.0002408	0.0001792
6	0.0001816	0.000144
7	0.0001232	0.0001088
8	0.0001208	0.0001032
9	0.0001192	0.0000976
10	0.0001176	0.000092
11	0.000116	0.0000872
12	0.0001144	0.0000816
13	0.0001528	0.0001016
14	0.0001912	0.0001216
15	0.0002296	0.0001408
16	0.0002688	0.0001608
17	0.0003072	0.0001808
18	0.0003296	0.0002064
19	0.0003528	0.0002312
20	0.0003752	0.0002568
21	0.0003984	0.0002824
22	0.0004208	0.0003072
23	0.000444	0.0003096
24	0.0004664	0.0003112
25	0.0004896	0.0003128
26	0.000512	0.0003144
27	0.0005352	0.0003168
28	0.0005312	0.0003256
29	0.0005272	0.0003344
30	0.0005232	0.0003424
31	0.0005192	0.0003512
32	0.0005152	0.00036
33	0.0005704	0.0003816
34	0.0006248	0.0004024
35	0.00068	0.0004232
36	0.0007352	0.0004448
37	0.0007904	0.0004656
38	0.0009128	0.0005048
39	0.0010344	0.000544
40	0.0011568	0.0005832
41	0.0012792	0.0006224
42	0.0014016	0.0006616
43	0.001564	0.000716
44	0.0017264	0.0007704
45	0.0018888	0.0008256
46	0.0020504	0.00088
47	0.0022128	0.0009344
48	0.0024312	0.0009984
49	0.0026504	0.0010624
50	0.0028688	0.0011264
51	0.0030872	0.0011904
52	0.0033056	0.0012544
53	0.0036544	0.0013432
54	0.0040032	0.001432
55	0.004352	0.0015208
56	0.0047008	0.0016096
57	0.0050496	0.0016984
58	0.0055072	0.0018992
59	0.0059656	0.0021008
60	0.006424	0.0023016
61	0.0068824	0.0025024
62	0.0073408	0.0027032
63	0.0080872	0.003044
64	0.0088328	0.003384
65	0.0095792	0.0037248
66	0.0103248	0.0040648
67	0.0110712	0.0044056
68	0.0123336	0.0051504
69	0.0135968	0.005896
70	0.0148592	0.0066408
71	0.0161224	0.0073864
72	0.0173848	0.0081312
73	0.0200744	0.0096616
74	0.022764	0.011192
75	0.0254544	0.0127224
76	0.028144	0.0142528
77	0.0308336	0.0157832
78	0.0374392	0.0204272
79	0.0440456	0.0250712
80	0.0506512	0.0297144
81	0.0572576	0.0343584
82	0.0638632	0.0390024
83	0.0737704	0.0462368
84	0.0836776	0.0534712
85	0.0935848	0.0607064
86	0.1034928	0.0679408
87	0.1134	0.0751752
88	0.1301288	0.0885672
89	0.1468568	0.1019592
90	0.1635856	0.1153512
91	0.1803144	0.1287424
92	0.1970432	0.1421344
93	0.2228488	0.1655288
94	0.2486544	0.1889224
95	0.27446	0.2123168
96	0.3002648	0.2357104
97	0.3260704	0.259104
98	0.3627704	0.2955856
99	0.3994712	0.3320664
100	0.4361712	0.368548
101	0.4728712	0.4050296
102	0.5095712	0.4415104
103	0.5480512	0.4872192
104	0.5865312	0.532928
105	0.6250112	0.5786368
106	0.6634912	0.6243456
107	0.7019704	0.6700536
108	0.7346472	0.7118576
109	0.7673232	0.7536616
110	0.8	0.7954656
111		0.997166
112		1
