Class	Year	Gender	t	AttAge	IssAge	AgeGroup	No_Policy	No_Claim	AgeGroup2
Inforce	2007	1	1	0	0	0	37286	0	2.5
Inforce	2007	1	1	1	1	2.5	3454	0	2.5
Inforce	2007	1	1	2	2	2.5	2299	0	2.5
Inforce	2007	1	1	3	3	2.5	2230	0	2.5
Inforce	2007	1	1	4	4	2.5	2105	0	2.5
Inforce	2007	1	1	5	5	7	2094	0	7
Inforce	2007	1	1	6	6	7	2101	0	7
Inforce	2007	1	1	7	7	7	2133	0	7
Inforce	2007	1	1	8	8	7	1968	0	7
Inforce	2007	1	1	9	9	7	1887	0	7
Inforce	2007	1	1	10	10	12	1852	0	12
Inforce	2007	1	1	11	11	12	1751	0	12
Inforce	2007	1	1	12	12	12	1654	0	12
Inforce	2007	1	1	13	13	12	1506	0	12
Inforce	2007	1	1	14	14	12	1288	0	12
Inforce	2007	1	1	15	15	17	2262	0	17
Inforce	2007	1	1	16	16	17	1953	0	17
Inforce	2007	1	1	17	17	17	1790	0	17
Inforce	2007	1	1	18	18	17	1867	0	17
Inforce	2007	1	1	19	19	17	1929	0	17
Inforce	2007	1	1	20	20	22	5185	0	22
Inforce	2007	1	1	21	21	22	7556	0	22
Inforce	2007	1	1	22	22	22	16580	0	22
Inforce	2007	1	1	23	23	22	33290	0	22
Inforce	2007	1	1	24	24	22	43962	0	22
Inforce	2007	1	1	25	25	27	45680	0	27
Inforce	2007	1	1	26	26	27	45563	0	27
Inforce	2007	1	1	27	27	27	44429	0	27
Inforce	2007	1	1	28	28	27	41036	0	27
Inforce	2007	1	1	29	29	27	37795	0	27
Inforce	2007	1	1	30	30	32	37566	0	32
Inforce	2007	1	1	31	31	32	37773	0	32
Inforce	2007	1	1	32	32	32	39605	0	32
Inforce	2007	1	1	33	33	32	41798	0	32
Inforce	2007	1	1	34	34	32	42241	0	32
Inforce	2007	1	1	35	35	37	43244	0	37
Inforce	2007	1	1	36	36	37	43052	0	37
Inforce	2007	1	1	37	37	37	42011	0	37
Inforce	2007	1	1	38	38	37	40814	0	37
Inforce	2007	1	1	39	39	37	38259	0	37
Inforce	2007	1	1	40	40	42	35388	0	42
Inforce	2007	1	1	41	41	42	34491	0	42
Inforce	2007	1	1	42	42	42	32899	0	42
Inforce	2007	1	1	43	43	42	31904	0	42
Inforce	2007	1	1	44	44	42	32516	0	42
Inforce	2007	1	1	45	45	47	32914	0	47
Inforce	2007	1	1	46	46	47	33140	0	47
Inforce	2007	1	1	47	47	47	30200	0	47
Inforce	2007	1	1	48	48	47	26317	0	47
Inforce	2007	1	1	49	49	47	22917	0	47
Inforce	2007	1	1	50	50	52	18536	0	52
Inforce	2007	1	1	51	51	52	14490	0	52
Inforce	2007	1	1	52	52	52	11224	0	52
Inforce	2007	1	1	53	53	52	6103	0	52
Inforce	2007	1	1	54	54	52	5335	0	52
Inforce	2007	1	1	55	55	57	3934	0	57
Inforce	2007	1	1	56	56	57	2277	0	57
Inforce	2007	1	1	57	57	57	1565	0	57
Inforce	2007	1	1	58	58	57	1526	0	57
